,,,,,,
,,,,,,
,,,,,,
Test,Category,Metric,ID,Device,Comment,Platform
,システム情報,バージョン,Version,,バージョン,VMHost
,システム情報,ビルド,Build,,ビルド,VMHost
,システム情報,ライセンス,LicenseKey,,ライセンス,VMHost
Y,システム情報,ホスト状態,VMHost,,vCenter情報のホスト情報を検索します,VMHost
,OS設定,ファイヤーウォールポリシー,FirewallDefaultPolicy,,ファイヤーウォールポリシー,VMHost
,OS設定,ハイパースレッディング,HyperthreadingActive,,ハイパースレッディング,VMHost
,OS設定,タイムゾーン,TimeZone,,タイムゾーン,VMHost
,OS設定,クラスター,Parent,,クラスター,VMHost
,OS設定,電源状態,PowerState,,電源状態,VMHost
,OS設定,スワップポリシー,VMSwapfilePolicy,,スワップポリシー,VMHost
,OS設定,メーカー,Manufacturer,,メーカー,VMHost
,CPU,CPUコア数,NumCpu,,CPUコア数,VMHost
,CPU,CPUクロック,CpuTotalMhz,,CPUクロック,VMHost
,CPU,プロセッサタイプ,ProcessorType,,プロセッサタイプ,VMHost
,メモリ,メモリ容量,MemoryTotalGB,,メモリ容量,VMHost
,ネットワーク,ネットワーク,NetworkInfo,,ネットワーク,VMHost
Y,ネットワーク,ネットワーク構成,NetworkAdapter,Y,ネットワーク構成数を検索し、別シートに詳細情報を登録します,VMHost
Y,ストレージ,ディスクパーティション,DiskPartition,Y,ディスクパーティション数を検索し、別シートに詳細情報を登録します,VMHost
Y,ストレージ,データストア,Datastore,Y,データストア数を検索し、別シートに詳細情報を登録します,VMHost
Y,ストレージ,ディスク構成,Disk,Y,ディスク構成数を検索し、別シートに詳細情報を登録します,VMHost
Y,ユーザ,アカウント情報,Account,Y,アカウント数を検索し、別シートに詳細情報を登録します,VMHost
